customer_id,customer_name,segment,region,city
C0001,Customer 1,Corporate,North,Delhi
C0002,Customer 2,Consumer,North,Delhi
C0003,Customer 3,Consumer,North,Jaipur
C0004,Customer 4,Consumer,North,Lucknow
C0005,Customer 5,Consumer,West,Pune
C0006,Customer 6,Corporate,East,Guwahati
C0007,Customer 7,Consumer,East,Guwahati
C0008,Customer 8,Home Office,North,Delhi
C0009,Customer 9,Home Office,East,Patna
C0010,Customer 10,Corporate,East,Patna
C0011,Customer 11,Consumer,North,Lucknow
C0012,Customer 12,Consumer,East,Patna
C0013,Customer 13,Home Office,Central,Indore
C0014,Customer 14,Home Office,South,Chennai
C0015,Customer 15,Consumer,South,Hyderabad
C0016,Customer 16,Corporate,North,Jaipur
C0017,Customer 17,Consumer,West,Surat
C0018,Customer 18,Consumer,North,Chandigarh
C0019,Customer 19,Consumer,West,Ahmedabad
C0020,Customer 20,Consumer,South,Bangalore
C0021,Customer 21,Home Office,North,Lucknow
C0022,Customer 22,Corporate,Central,Nagpur
C0023,Customer 23,Consumer,East,Bhubaneswar
C0024,Customer 24,Corporate,West,Surat
C0025,Customer 25,Home Office,East,Patna
C0026,Customer 26,Home Office,East,Guwahati
C0027,Customer 27,Consumer,North,Jaipur
C0028,Customer 28,Consumer,East,Patna
C0029,Customer 29,Consumer,Central,Raipur
C0030,Customer 30,Consumer,East,Patna
C0031,Customer 31,Consumer,North,Delhi
C0032,Customer 32,Corporate,Central,Indore
C0033,Customer 33,Consumer,South,Hyderabad
C0034,Customer 34,Consumer,East,Kolkata
C0035,Customer 35,Consumer,North,Jaipur
C0036,Customer 36,Consumer,South,Chennai
C0037,Customer 37,Consumer,South,Bangalore
C0038,Customer 38,Consumer,West,Ahmedabad
C0039,Customer 39,Consumer,Central,Indore
C0040,Customer 40,Consumer,East,Kolkata
C0041,Customer 41,Consumer,North,Delhi
C0042,Customer 42,Corporate,West,Mumbai
C0043,Customer 43,Consumer,Central,Raipur
C0044,Customer 44,Consumer,West,Mumbai
C0045,Customer 45,Consumer,Central,Nagpur
C0046,Customer 46,Home Office,Central,Nagpur
C0047,Customer 47,Consumer,East,Kolkata
C0048,Customer 48,Corporate,Central,Bhopal
C0049,Customer 49,Home Office,West,Surat
C0050,Customer 50,Consumer,Central,Indore
C0051,Customer 51,Home Office,East,Kolkata
C0052,Customer 52,Corporate,East,Patna
C0053,Customer 53,Consumer,West,Pune
C0054,Customer 54,Consumer,South,Hyderabad
C0055,Customer 55,Corporate,South,Chennai
C0056,Customer 56,Consumer,Central,Nagpur
C0057,Customer 57,Home Office,North,Lucknow
C0058,Customer 58,Consumer,Central,Raipur
C0059,Customer 59,Corporate,West,Pune
C0060,Customer 60,Consumer,West,Ahmedabad
C0061,Customer 61,Home Office,West,Ahmedabad
C0062,Customer 62,Corporate,West,Ahmedabad
C0063,Customer 63,Consumer,West,Surat
C0064,Customer 64,Consumer,East,Patna
C0065,Customer 65,Consumer,South,Bangalore
C0066,Customer 66,Consumer,West,Surat
C0067,Customer 67,Consumer,North,Jaipur
C0068,Customer 68,Corporate,North,Jaipur
C0069,Customer 69,Corporate,North,Delhi
C0070,Customer 70,Corporate,North,Delhi
C0071,Customer 71,Home Office,East,Kolkata
C0072,Customer 72,Corporate,North,Chandigarh
C0073,Customer 73,Corporate,West,Mumbai
C0074,Customer 74,Corporate,Central,Bhopal
C0075,Customer 75,Consumer,North,Delhi
C0076,Customer 76,Consumer,East,Patna
C0077,Customer 77,Consumer,East,Guwahati
C0078,Customer 78,Consumer,North,Chandigarh
C0079,Customer 79,Consumer,Central,Raipur
C0080,Customer 80,Consumer,North,Lucknow
C0081,Customer 81,Home Office,East,Patna
C0082,Customer 82,Corporate,South,Kochi
C0083,Customer 83,Consumer,West,Pune
C0084,Customer 84,Consumer,East,Kolkata
C0085,Customer 85,Consumer,North,Delhi
C0086,Customer 86,Consumer,West,Pune
C0087,Customer 87,Consumer,North,Delhi
C0088,Customer 88,Home Office,North,Chandigarh
C0089,Customer 89,Consumer,South,Kochi
C0090,Customer 90,Home Office,West,Ahmedabad
C0091,Customer 91,Home Office,West,Surat
C0092,Customer 92,Consumer,South,Bangalore
C0093,Customer 93,Corporate,East,Bhubaneswar
C0094,Customer 94,Corporate,North,Delhi
C0095,Customer 95,Consumer,Central,Raipur
C0096,Customer 96,Consumer,North,Jaipur
C0097,Customer 97,Corporate,North,Jaipur
C0098,Customer 98,Corporate,East,Bhubaneswar
C0099,Customer 99,Home Office,North,Delhi
C0100,Customer 100,Home Office,South,Bangalore
C0101,Customer 101,Corporate,South,Chennai
C0102,Customer 102,Home Office,West,Pune
C0103,Customer 103,Corporate,Central,Raipur
C0104,Customer 104,Corporate,North,Chandigarh
C0105,Customer 105,Corporate,North,Lucknow
C0106,Customer 106,Consumer,East,Patna
C0107,Customer 107,Corporate,South,Bangalore
C0108,Customer 108,Corporate,Central,Bhopal
C0109,Customer 109,Consumer,West,Ahmedabad
C0110,Customer 110,Home Office,South,Bangalore
C0111,Customer 111,Consumer,West,Ahmedabad
C0112,Customer 112,Corporate,East,Bhubaneswar
C0113,Customer 113,Corporate,East,Patna
C0114,Customer 114,Corporate,North,Chandigarh
C0115,Customer 115,Consumer,Central,Bhopal
C0116,Customer 116,Home Office,West,Mumbai
C0117,Customer 117,Corporate,South,Hyderabad
C0118,Customer 118,Consumer,East,Kolkata
C0119,Customer 119,Consumer,North,Jaipur
C0120,Customer 120,Corporate,North,Lucknow
C0121,Customer 121,Consumer,West,Surat
C0122,Customer 122,Consumer,East,Bhubaneswar
C0123,Customer 123,Corporate,Central,Bhopal
C0124,Customer 124,Consumer,East,Patna
C0125,Customer 125,Corporate,West,Mumbai
C0126,Customer 126,Consumer,West,Ahmedabad
C0127,Customer 127,Corporate,East,Patna
C0128,Customer 128,Consumer,West,Ahmedabad
C0129,Customer 129,Corporate,East,Guwahati
C0130,Customer 130,Consumer,South,Hyderabad
C0131,Customer 131,Corporate,East,Patna
C0132,Customer 132,Consumer,East,Bhubaneswar
C0133,Customer 133,Home Office,West,Pune
C0134,Customer 134,Corporate,West,Ahmedabad
C0135,Customer 135,Home Office,North,Jaipur
C0136,Customer 136,Corporate,North,Delhi
C0137,Customer 137,Consumer,South,Chennai
C0138,Customer 138,Home Office,North,Jaipur
C0139,Customer 139,Consumer,East,Guwahati
C0140,Customer 140,Consumer,West,Pune
C0141,Customer 141,Consumer,North,Lucknow
C0142,Customer 142,Corporate,North,Lucknow
C0143,Customer 143,Corporate,South,Bangalore
C0144,Customer 144,Consumer,South,Chennai
C0145,Customer 145,Home Office,East,Patna
C0146,Customer 146,Consumer,West,Mumbai
C0147,Customer 147,Consumer,South,Hyderabad
C0148,Customer 148,Consumer,North,Lucknow
C0149,Customer 149,Consumer,West,Ahmedabad
C0150,Customer 150,Consumer,West,Pune
C0151,Customer 151,Corporate,North,Jaipur
C0152,Customer 152,Corporate,South,Kochi
C0153,Customer 153,Consumer,North,Jaipur
C0154,Customer 154,Consumer,West,Pune
C0155,Customer 155,Consumer,Central,Raipur
C0156,Customer 156,Home Office,Central,Nagpur
C0157,Customer 157,Consumer,East,Guwahati
C0158,Customer 158,Corporate,North,Delhi
C0159,Customer 159,Home Office,North,Chandigarh
C0160,Customer 160,Corporate,East,Kolkata
C0161,Customer 161,Home Office,East,Kolkata
C0162,Customer 162,Consumer,East,Bhubaneswar
C0163,Customer 163,Corporate,West,Mumbai
C0164,Customer 164,Corporate,North,Lucknow
C0165,Customer 165,Corporate,West,Mumbai
C0166,Customer 166,Consumer,East,Bhubaneswar
C0167,Customer 167,Consumer,North,Lucknow
C0168,Customer 168,Consumer,West,Ahmedabad
C0169,Customer 169,Corporate,West,Ahmedabad
C0170,Customer 170,Home Office,East,Patna
