item_id,order_id,product_id,quantity,discount,unit_price,sales,profit
IT-000001,ORD-00001,P0025,1,0.0,241.5,241.5,110.37
IT-000002,ORD-00001,P0003,4,0.2,86.3,345.18,117.26
IT-000003,ORD-00002,P0006,2,0.0,942.04,1884.08,768.78
IT-000004,ORD-00002,P0017,5,0.0,866.66,4333.3,1343.5
IT-000005,ORD-00003,P0010,1,0.05,655.45,655.45,308.15
IT-000006,ORD-00003,P0001,5,0.0,966.84,4834.2,1244.65
IT-000007,ORD-00003,P0016,2,0.15,205.96,411.91,91.59
IT-000008,ORD-00004,P0013,4,0.0,1605.24,6420.96,2944.0
IT-000009,ORD-00004,P0012,1,0.1,444.75,444.75,36.55
IT-000010,ORD-00004,P0024,2,0.0,1045.55,2091.1,1030.82
IT-000011,ORD-00004,P0009,5,0.15,642.06,3210.28,1144.38
IT-000012,ORD-00005,P0002,1,0.0,839.32,839.32,300.14
IT-000013,ORD-00006,P0002,4,0.0,839.32,3357.28,1200.56
IT-000014,ORD-00007,P0004,1,0.0,46.28,46.28,22.86
IT-000015,ORD-00008,P0010,3,0.0,689.95,2069.85,1027.95
IT-000016,ORD-00008,P0018,2,0.0,316.12,632.24,250.02
IT-000017,ORD-00009,P0021,1,0.05,1002.12,1002.12,172.04
IT-000018,ORD-00010,P0015,5,0.1,936.62,4683.11,1600.51
IT-000019,ORD-00010,P0022,1,0.15,788.51,788.51,317.36
IT-000020,ORD-00011,P0004,2,0.2,37.02,74.05,27.21
IT-000021,ORD-00011,P0015,5,0.0,1040.69,5203.45,2120.85
IT-000022,ORD-00012,P0023,3,0.15,425.03,1275.1,216.49
IT-000023,ORD-00012,P0001,5,0.15,821.81,4109.07,519.52
IT-000024,ORD-00013,P0011,1,0.0,78.52,78.52,31.95
IT-000025,ORD-00013,P0009,2,0.05,717.59,1435.18,608.82
IT-000026,ORD-00013,P0010,2,0.05,655.45,1310.9,616.3
IT-000027,ORD-00014,P0022,1,0.05,881.28,881.28,410.13
IT-000028,ORD-00014,P0001,2,0.0,966.84,1933.68,497.86
IT-000029,ORD-00015,P0012,3,0.3,345.92,1037.76,-186.84
IT-000030,ORD-00015,P0009,5,0.2,604.29,3021.44,955.54
IT-000031,ORD-00016,P0011,3,0.0,78.52,235.56,95.85
IT-000032,ORD-00017,P0002,4,0.0,839.32,3357.28,1200.56
IT-000033,ORD-00017,P0024,3,0.15,888.72,2666.15,1075.73
IT-000034,ORD-00018,P0018,3,0.15,268.7,806.11,232.78
IT-000035,ORD-00018,P0008,1,0.05,426.55,426.55,63.67
IT-000036,ORD-00019,P0013,1,0.0,1605.24,1605.24,736.0
IT-000037,ORD-00019,P0019,1,0.0,1588.55,1588.55,715.77
IT-000038,ORD-00020,P0007,1,0.05,533.08,533.08,141.49
IT-000039,ORD-00020,P0019,1,0.0,1588.55,1588.55,715.77
IT-000040,ORD-00020,P0023,5,0.0,500.04,2500.2,735.85
IT-000041,ORD-00021,P0025,4,0.05,229.42,917.7,393.18
IT-000042,ORD-00021,P0002,1,0.0,839.32,839.32,300.14
IT-000043,ORD-00021,P0004,1,0.0,46.28,46.28,22.86
IT-000044,ORD-00022,P0019,3,0.05,1509.12,4527.37,1909.03
IT-000045,ORD-00022,P0022,3,0.1,834.89,2504.68,1091.23
IT-000046,ORD-00022,P0009,4,0.2,604.29,2417.15,764.43
IT-000047,ORD-00023,P0024,1,0.1,941.0,941.0,410.86
IT-000048,ORD-00024,P0007,2,0.0,561.14,1122.28,339.1
IT-000049,ORD-00024,P0012,1,0.0,494.17,494.17,85.97
IT-000050,ORD-00025,P0025,4,0.3,169.05,676.2,151.68
IT-000051,ORD-00026,P0006,1,0.0,942.04,942.04,384.39
IT-000052,ORD-00027,P0012,1,0.0,494.17,494.17,85.97
IT-000053,ORD-00028,P0013,4,0.05,1524.98,6099.91,2622.95
IT-000054,ORD-00029,P0020,2,0.05,661.47,1322.93,605.61
IT-000055,ORD-00030,P0023,3,0.15,425.03,1275.1,216.49
IT-000056,ORD-00030,P0020,2,0.2,557.02,1114.05,396.73
IT-000057,ORD-00031,P0004,5,0.0,46.28,231.4,114.3
