order_id,order_date,ship_date,ship_mode,customer_id
ORD-00001,2024-06-05,2024-06-07,Standard Class,C0029
ORD-00002,2024-03-07,2024-03-10,Standard Class,C0357
ORD-00003,2022-06-06,2022-06-13,First Class,C0365
ORD-00004,2024-06-02,2024-06-03,First Class,C0096
ORD-00005,2024-08-31,2024-09-03,Standard Class,C0409
ORD-00006,2024-11-11,2024-11-13,Standard Class,C0266
ORD-00007,2024-04-28,2024-05-01,Standard Class,C0291
ORD-00008,2024-01-18,2024-01-19,Standard Class,C0055
ORD-00009,2024-09-15,2024-09-18,Standard Class,C0153
ORD-00010,2022-01-21,2022-01-23,Standard Class,C0219
ORD-00011,2022-10-30,2022-11-02,Same Day,C0173
ORD-00012,2024-05-18,2024-05-25,Standard Class,C0096
ORD-00013,2022-03-25,2022-03-30,Standard Class,C0123
ORD-00014,2023-07-24,2023-07-29,First Class,C0012
ORD-00015,2024-07-22,2024-07-26,Standard Class,C0004
ORD-00016,2024-10-05,2024-10-06,Standard Class,C0362
ORD-00017,2024-03-03,2024-03-05,Standard Class,C0346
ORD-00018,2024-03-02,2024-03-08,Standard Class,C0067
ORD-00019,2023-05-07,2023-05-10,Same Day,C0145
ORD-00020,2022-07-27,2022-07-29,First Class,C0457
ORD-00021,2024-12-19,2024-12-23,First Class,C0477
ORD-00022,2023-03-06,2023-03-08,First Class,C0065
ORD-00023,2024-09-11,2024-09-13,Standard Class,C0082
ORD-00024,2023-06-04,2023-06-11,First Class,C0105
ORD-00025,2023-08-14,2023-08-19,Same Day,C0181
ORD-00026,2024-11-16,2024-11-19,Standard Class,C0340
ORD-00027,2022-07-18,2022-07-25,Standard Class,C0441
ORD-00028,2023-01-22,2023-01-26,Standard Class,C0105
ORD-00029,2022-12-15,2022-12-19,Standard Class,C0226
ORD-00030,2024-08-17,2024-08-18,Standard Class,C0371
ORD-00031,2023-11-24,2023-11-26,First Class,C0028
ORD-00032,2023-01-13,2023-01-17,First Class,C0496
ORD-00033,2024-06-17,2024-06-22,Standard Class,C0483
ORD-00034,2024-07-04,2024-07-08,Standard Class,C0016
ORD-00035,2023-06-11,2023-06-13,First Class,C0277
ORD-00036,2024-01-04,2024-01-06,Second Class,C0333
ORD-00037,2022-07-25,2022-07-30,Standard Class,C0483
ORD-00038,2023-03-31,2023-04-02,Second Class,C0298
ORD-00039,2023-06-05,2023-06-08,First Class,C0054
ORD-00040,2024-10-13,2024-10-14,First Class,C0288
ORD-00041,2024-08-13,2024-08-15,Standard Class,C0114
ORD-00042,2023-12-27,2023-12-31,Standard Class,C0038
ORD-00043,2024-10-10,2024-10-14,First Class,C0454
ORD-00044,2023-05-16,2023-05-19,Standard Class,C0370
ORD-00045,2022-04-27,2022-04-29,Second Class,C0230
ORD-00046,2023-01-21,2023-01-26,Standard Class,C0166
ORD-00047,2023-08-07,2023-08-09,Standard Class,C0182
ORD-00048,2023-01-30,2023-02-02,Standard Class,C0444
ORD-00049,2024-12-23,2024-12-29,Standard Class,C0205
ORD-00050,2023-12-22,2023-12-24,First Class,C0366
ORD-00051,2022-03-13,2022-03-19,Standard Class,C0245
ORD-00052,2022-10-01,2022-10-03,First Class,C0359
ORD-00053,2022-12-04,2022-12-07,First Class,C0333
ORD-00054,2023-08-30,2023-09-02,Standard Class,C0431
ORD-00055,2022-06-15,2022-06-21,Second Class,C0396
ORD-00056,2022-01-11,2022-01-13,Standard Class,C0309
ORD-00057,2023-12-30,2024-01-02,Second Class,C0417
ORD-00058,2024-03-11,2024-03-18,Standard Class,C0412
ORD-00059,2022-04-12,2022-04-15,Standard Class,C0121
ORD-00060,2024-02-18,2024-02-21,Standard Class,C0259
ORD-00061,2022-08-02,2022-08-04,Second Class,C0210
ORD-00062,2023-02-05,2023-02-09,First Class,C0410
ORD-00063,2023-08-11,2023-08-12,Standard Class,C0310
ORD-00064,2024-06-07,2024-06-08,Standard Class,C0296
ORD-00065,2024-12-05,2024-12-08,Standard Class,C0194
ORD-00066,2023-08-15,2023-08-18,First Class,C0068
ORD-00067,2022-04-02,2022-04-08,Standard Class,C0114
ORD-00068,2023-11-04,2023-11-10,Second Class,C0220
ORD-00069,2023-12-15,2023-12-19,Standard Class,C0220
ORD-00070,2024-07-24,2024-07-29,Standard Class,C0473
ORD-00071,2022-08-30,2022-09-03,First Class,C0218
ORD-00072,2022-01-02,2022-01-04,Second Class,C0237
ORD-00073,2022-08-13,2022-08-17,Second Class,C0431
ORD-00074,2024-03-11,2024-03-13,Standard Class,C0386
ORD-00075,2023-08-12,2023-08-15,First Class,C0298
ORD-00076,2022-04-26,2022-05-01,Standard Class,C0418
ORD-00077,2024-07-06,2024-07-09,First Class,C0094
ORD-00078,2022-07-13,2022-07-18,Standard Class,C0253
ORD-00079,2024-05-20,2024-05-22,Standard Class,C0405
ORD-00080,2022-03-31,2022-04-04,Standard Class,C0492
ORD-00081,2022-05-02,2022-05-04,Standard Class,C0357
ORD-00082,2022-05-23,2022-05-27,Standard Class,C0428
ORD-00083,2024-09-20,2024-09-24,First Class,C0215
